FullName,ImpactFactor
CNS Drugs,1.884
Matrix Biology,1.883
JMIR Mental Health,1.882
Journal of Genetics and Genomics,1.882
Mutation Research - Reviews in Mutation Research,1.882
Urban Education,1.882
Gynecologic Oncology,1.881
Human Genetics and Genomics Advances,1.88
PharmacoEconomics,1.88
Emerging Infectious Diseases,1.879
Labour Economics,1.879
Computers and Geotechnics,1.878
Journal of Clinical Microbiology,1.878
Sustainable Horizons,1.878
Journal of Clinical Child and Adolescent Psychology,1.877
Engineered Regeneration,1.874
Journal of Economic Growth,1.874
Seminars in Arthritis and Rheumatism,1.874
Economic Analysis and Policy,1.873
Journal of Business Venturing Insights,1.873
Physiology,1.873
Journal of Thrombosis and Haemostasis,1.872
Constructive Approximation,1.871
Metacognition and Learning,1.871
"Selecta Mathematica, New Series",1.871
Archives of Pharmacal Research,1.87
International Journal of Project Management,1.87
Tourism Management Perspectives,1.87
Reviews of Environmental Contamination and Toxicology,1.869
Critical Reviews in Biotechnology,1.868
Molecular Therapy Methods and Clinical Development,1.868
Scientific Data,1.867
Journal of Modern Dynamics,1.866
Environmental Chemistry and Ecotoxicology,1.865
Current Opinion in Biotechnology,1.864
Ambio,1.862
Philosophy and Technology,1.862
TESOL Quarterly,1.862
Brain Communications,1.86
European Journal of Immunology,1.86
European Urology Focus,1.86
Contemporary Security Policy,1.859
Journal of Engineering Education,1.859
Nutrition Reviews,1.859
Building and Environment,1.858
Harvard Kennedy School Misinformation Review,1.858
IEEE Transactions on Circuits and Systems for Video Technology,1.858
Journal of Adolescent Health,1.857
Current Pollution Reports,1.856
Value in Health,1.856
Language Teaching,1.855
ACS ES and T Engineering,1.854
Expert Systems with Applications,1.854
Journal of Research on Technology in Education,1.854
Soil and Tillage Research,1.854
Cognitive Robotics,1.852
IEEE Open Journal of Power Electronics,1.852
IEEE Computational Intelligence Magazine,1.851
Current Opinion in Green and Sustainable Chemistry,1.85
Academy of Management Learning and Education,1.848
Journal of Algebraic Geometry,1.846
ChemSusChem,1.845
Mathematics of Computation,1.845
Open Biology,1.843
American Journal of Respiratory Cell and Molecular Biology,1.841
Smart Materials in Manufacturing,1.841
Biology and Fertility of Soils,1.84
Cities,1.839
Clinical Oral Implants Research,1.839
Journal of Dental Research,1.839
Journal of Law and Economics,1.839
Diagnostic and Interventional Imaging,1.838
Habitat International,1.837
Artificial Intelligence,1.836
HemaSphere,1.835
International Journal of Fatigue,1.835
Chest,1.834
Clinical Science,1.834
Computers and Electronics in Agriculture,1.834
"Forum of Mathematics, Sigma",1.834
Journal of Allergy and Clinical Immunology: In Practice,1.834
Clinical Epigenetics,1.833
Human Mutation,1.832
Proceedings of the VLDB Endowment,1.832
Epidemiology,1.831
PLOS Digital Health,1.831
Structural Health Monitoring,1.831
Management Review Quarterly,1.83
Materials Today Nano,1.83
Mechanisms of Ageing and Development,1.83
Scripta Materialia,1.829
Quarterly Journal of Political Science,1.828
IEEE Transactions on Microwave Theory and Techniques,1.827
Journalism Studies,1.827
Psychiatry and Clinical Neurosciences,1.826
Current Opinion in Food Science,1.825
Obesity,1.825
Transactions of the Association for Computational Linguistics,1.824
Ultrasonics Sonochemistry,1.823
Environmental Research,1.822
Gerontologist,1.822
Journal of Structural Biology,1.822
Acta Crystallographica Section D: Structural Biology,1.821
International Journal of Physical Distribution and Logistics Management,1.821
Critical Reviews in Oncology/Hematology,1.82
Journal of Geophysical Research: Solid Earth,1.82
Mindfulness,1.82
Ocular Surface,1.82
Critical Reviews in Microbiology,1.816
Journal of Banking and Finance,1.816
Progress in Cardiovascular Diseases,1.815
Journal of Teacher Education,1.814
Legislative Studies Quarterly,1.812
Corrosion Communications,1.81
European Journal of Endocrinology,1.81
International Journal of Social Research Methodology: Theory and Practice,1.81
Burns and Trauma,1.809
Current Rheumatology Reports,1.809
SSM - Population Health,1.808
Biochemical Society Transactions,1.807
Rock Mechanics Bulletin,1.807
British Journal of Ophthalmology,1.806
"Personality Disorders: Theory, Research, and Treatment",1.806
Influenza and other Respiratory Viruses,1.805
Journal of Population Economics,1.805
Engineering Structures,1.803
Information and Organization,1.803
Information Sciences,1.803
Geophysical Research Letters,1.802
Journal of Memory and Language,1.802
Journal of the Institute of Mathematics of Jussieu,1.802
Journal of Medicinal Chemistry,1.801
Oxford Open Climate Change,1.801
BMJ Evidence-Based Medicine,1.8
Biology of Sex Differences,1.799
Health Services Research,1.796
Infectious Disease Clinics of North America,1.796
Sleep,1.796
Agronomy for Sustainable Development,1.793
Journal of Planning Literature,1.793
Preventive Medicine,1.793
Diabetes/Metabolism Research and Reviews,1.792
International Journal of Clinical and Health Psychology,1.792
International Journal of Logistics Management,1.792
American Journal of Physiology - Cell Physiology,1.791
Bulletin of the World Health Organization,1.79
Diversity and Distributions,1.79
JMIR mHealth and uHealth,1.787
BJOG: An International Journal of Obstetrics and Gynaecology,1.786
Current Opinion in Electrochemistry,1.786
CAAI Transactions on Intelligence Technology,1.785
Current Addiction Reports,1.784
Gene Therapy,1.784
Journal of Power Sources,1.784
Epigenetics and Chromatin,1.781
Heart,1.781
Reviews in Mineralogy and Geochemistry,1.781
IEEE Transactions on Green Communications and Networking,1.78
Inflammatory Bowel Diseases,1.78
Mechanism and Machine Theory,1.78
Journal of Molecular and Cellular Cardiology,1.779
Ecological Applications,1.778
Journal of Experimental Botany,1.778
R and D Management,1.778
Communications Physics,1.776
EFORT Open Reviews,1.776
Journal of Epidemiology and Community Health,1.776
Annali della Scuola Normale Superiore di Pisa - Classe di Scienze,1.775
Biomedicine and Pharmacotherapy,1.775
Marketing Theory,1.774
Journal of Cystic Fibrosis,1.772
Metabolic Engineering,1.771
Philosophical Review,1.771
Preventing Chronic Disease,1.77
Journal of the International AIDS Society,1.769
Tungsten,1.769
Bayesian Analysis,1.768
Progress in Neuro-Psychopharmacology and Biological Psychiatry,1.768
Engineering,1.767
Structural Safety,1.767
General Psychiatry,1.766
Nanophotonics,1.765
Soft Robotics,1.764
Applied Linguistics,1.763
Journal of Intelligent Manufacturing,1.763
Journal of Rural Studies,1.763
Atherosclerosis,1.762
Composite Structures,1.761
Composites Part A: Applied Science and Manufacturing,1.761
Journal of Applied Learning and Teaching,1.761
Immunity and Ageing,1.76
Journal of Energy Storage,1.76
Wiley Interdisciplinary Reviews: Cognitive Science,1.76
Comprehensive Physiology,1.759
ACS Sensors,1.757
Agricultural Water Management,1.757
Journal of the Mechanics and Physics of Solids,1.757
Immunology,1.756
JBJS Open Access,1.756
Rare Metals,1.756
Transactions of Tianjin University,1.756
Annales de l'institut Henri Poincare (B) Probability and Statistics,1.755
IEEE Transactions on Dependable and Secure Computing,1.755
Advances in Wound Care,1.754
Journal for Research in Mathematics Education,1.753
Reviews in Fish Biology and Fisheries,1.753
Lung Cancer,1.752
Molecular Medicine,1.752
Artificial Intelligence in Agriculture,1.75
Neuroscience of Consciousness,1.75
Criminology and Public Policy,1.749
Equity and Excellence in Education,1.749
International Journal of Impact Engineering,1.749
Current Oncology Reports,1.748
Journal of Archaeological Research,1.748
Molecular Cancer Research,1.748
Journal of Social Issues,1.746
Environment and Health,1.745
CRISPR Journal,1.744
JACC: Asia,1.744
Journal of Nursing Regulation,1.743
Journal of Parkinson's Disease,1.743
Drug Discovery Today,1.742
International Journal of Management Education,1.741
Journal of Shoulder and Elbow Surgery,1.741
Educational Administration Quarterly,1.74
Endocrinology and Metabolism Clinics of North America,1.739
Radiotherapy and Oncology,1.738
Nanoscale Horizons,1.735
IEEE Transactions on Circuits and Systems,1.734
Journal of Counseling Psychology,1.734
JPhys Energy,1.733
Phenomics,1.733
Mathematical Programming,1.732
Philosophical Transactions of the Royal Society B: Biological Sciences,1.732
BMJ Oncology,1.731
Developmental Science,1.73
Earthquake Engineering and Structural Dynamics,1.73
International Journal of Mechanical System Dynamics,1.73
Journal of Computational and Cognitive Engineering,1.73
Journal of Cardiovascular Magnetic Resonance,1.728
Telecommunications Policy,1.728
BMC Biology,1.727
Cancer Gene Therapy,1.727
Materials and Design,1.727
Transactions of the Institute of British Geographers,1.727
Inflammation and Regeneration,1.726
Transport Policy,1.726
Waste Management,1.726
Ethics,1.725
Policy Reviews in Higher Education,1.724
Superconductivity,1.724
Energy Conversion and Management: X,1.722
Desalination,1.721
Journal of Geotechnical and Geoenvironmental Engineering - ASCE,1.721
Public Opinion Quarterly,1.721
Rheumatology,1.721
Advanced Energy and Sustainability Research,1.719
Current Opinion in Environmental Science and Health,1.719
CBE Life Sciences Education,1.718
Comprehensive Psychiatry,1.718
European Journal of Psychotraumatology,1.718
IEEE Transactions on Antennas and Propagation,1.718
Journal of the London Mathematical Society,1.717
"Cancer Immunology, Immunotherapy",1.716
"Media, Culture and Society",1.716
Molecular Therapy Oncology,1.716
Development (Cambridge),1.715
Energy and Climate Change,1.715
Environmental Science and Policy,1.715
Journal of Physiology,1.715
International Journal of Electrical Power and Energy Systems,1.714
Journal of Economic Dynamics and Control,1.714
Journal of the Royal Society of Medicine,1.714
Travel Behaviour and Society,1.714
Australian and New Zealand Journal of Psychiatry,1.713
NAR Cancer,1.712
Educational Management Administration and Leadership,1.711
Finance Research Letters,1.711
Progress in Solid State Chemistry,1.711
Bone Marrow Transplantation,1.709
Computers in Human Behavior Reports,1.709
European Journal of Marketing,1.709
International Studies Review,1.709
Journal of Technology Transfer,1.709
Current Atherosclerosis Reports,1.708
IEEE Communications Letters,1.708
Journal of Psychopharmacology,1.708
International Journal for Equity in Health,1.707
Molecular Ecology,1.707
Energy and Built Environment,1.706
Foundations and Trends in Accounting,1.706
Journal of Nursing Management,1.706
Oxford Review of Economic Policy,1.706
Journal of Biological Chemistry,1.705
Current Opinion in Rheumatology,1.704
Perspectives on Sexual and Reproductive Health,1.704
Current Issues in Tourism,1.703
International Journal of Eating Disorders,1.703
Soil and Environmental Health,1.703
Current Opinion in Systems Biology,1.702
Monthly Notices of the Royal Astronomical Society,1.702
Nucleus,1.702
Contributions to Mineralogy and Petrology,1.7
Teaching and Teacher Education,1.7
Food Research International,1.698
Journal of Animal Ecology,1.698
Stanford Law Review,1.698
Globalization and Health,1.697
Separation and Purification Technology,1.697
International Journal of Coal Geology,1.696
Organization and Environment,1.696
Science China Earth Sciences,1.696
China Finance Review International,1.695
Critical Reviews in Clinical Laboratory Sciences,1.695
Current Neurology and Neuroscience Reports,1.694
Phytomedicine,1.694
Comparative Migration Studies,1.693
International Immunology,1.692
Animal Nutrition,1.691
Geochemical Perspectives Letters,1.691
Journal of the Association for Consumer Research,1.691
Science and Medicine in Football,1.691
The Lancet Regional Health - Southeast Asia,1.691
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",1.69
British Journal of Surgery,1.69
Circulation: Cardiovascular Imaging,1.69
Educational Evaluation and Policy Analysis,1.69
Agricultural Systems,1.689
Bulletin of the Geological Society of America,1.689
GIScience and Remote Sensing,1.689
"Accounting, Auditing and Accountability Journal",1.688
Monthly Notices of the Royal Astronomical Society: Letters,1.688
Journal of Leadership and Organizational Studies,1.687
Journal of Neurology,1.687
Cognition,1.686
Research on Language and Social Interaction,1.686
International Journal of Hydrogen Energy,1.685
Journal of Computational Physics,1.685
Journal of International Management,1.685
RMD Open,1.685
American Journal of Surgical Pathology,1.684
Catena,1.684
Journal of Applied Behavioral Science,1.684
European Union Politics,1.683
Journal of International Marketing,1.683
Science of Remote Sensing,1.683
Sports Medicine - Open,1.683
IEEE Antennas and Wireless Propagation Letters,1.682
Annals of Clinical and Translational Neurology,1.681
Race Ethnicity and Education,1.681
WIREs Mechanisms of Disease,1.681
Current Reviews in Musculoskeletal Medicine,1.68
Nephrology Dialysis Transplantation,1.68
RSF,1.679
"Technology, Mind, and Behavior",1.679
Computers and Education Open,1.678
IEEE Transactions on Control Systems Technology,1.678
Chinese Chemical Letters,1.677
Asian Economic Policy Review,1.676
CNS Neuroscience and Therapeutics,1.676
Eye and Vision,1.676
Journal of the American Society of Echocardiography,1.676
Dermatology and Therapy,1.675
Journal of Enterprise Information Management,1.675
Journal of the Atmospheric Sciences,1.675
Transactions of the American Mathematical Society,1.675
Endocrine-Related Cancer,1.674
Journal of English for Academic Purposes,1.674
Journal of Environmental Sciences (China),1.673
Oxidative Medicine and Cellular Longevity,1.673
Review of Corporate Finance,1.673
Virtual and Physical Prototyping,1.673
Genes and Immunity,1.672
Management Learning,1.672
Statistical Science,1.672
Molecular Autism,1.671
Cells,1.67
BMC Medical Research Methodology,1.669
Cognition and Instruction,1.669
Journal of Current Issues and Research in Advertising,1.669
Psychological Assessment,1.669
Journal of Physiotherapy,1.668
"Learning, Media and Technology",1.668
Mind and Language,1.668
International Affairs,1.667
Field Crops Research,1.666
IMA Journal of Numerical Analysis,1.666
Journal of Bone and Joint Surgery,1.666
Review of Public Personnel Administration,1.666
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,1.666
British Journal of Social Psychology,1.665
Foundations and Trends in Programming Languages,1.665
Friction,1.665
Current HIV/AIDS Reports,1.663
Science China Materials,1.663
Cancer Science,1.661
Commentarii Mathematici Helvetici,1.661
European Political Science Review,1.661
IEEE Transactions on Power Delivery,1.661
Journal of Applied Sport Psychology,1.661
Linguistic Inquiry,1.661
Petroleum Exploration and Development,1.661
Journal of Lipid Research,1.66
Journal of Petrology,1.66
SMAI Journal of Computational Mathematics,1.66
AERA Open,1.659
Journal of Investigative Dermatology,1.659
Chemistry-Methods,1.658
Current Hypertension Reports,1.658
Drug and Alcohol Dependence,1.657
Cleaner Materials,1.656
Biological Conservation,1.654
Education and Information Technologies,1.654
School Psychology Review,1.654
Journal of Urban Health,1.653
Annals of the American Thoracic Society,1.652
Engineering Applications of Artificial Intelligence,1.652
Social and Personality Psychology Compass,1.652
Cognitive Psychology,1.651
Life Medicine,1.651
Photoacoustics,1.651
RNA Biology,1.651
Studies in Higher Education,1.651
ACM Transactions on Algorithms,1.65
Advances in Geo-Energy Research,1.65
IEEE Journal of Biomedical and Health Informatics,1.649
Materials Today Advances,1.649
Diabetes and Metabolism,1.648
Journal of Happiness Studies,1.648
Neuroscientist,1.648
Biochimica et Biophysica Acta - Molecular Cell Research,1.647
British Journal of Haematology,1.647
Journal of Lipid and Atherosclerosis,1.647
Genes and Diseases,1.646
Precision Chemistry,1.646
Biogeosciences,1.645
Biology of Sport,1.645
Journal of Marketing Theory and Practice,1.645
Ocean-Land-Atmosphere Research,1.645
Stata Journal,1.645
Targeted Oncology,1.645
Smart Materials in Medicine,1.644
Water Resources Research,1.644
Pigment Cell and Melanoma Research,1.643
Numerische Mathematik,1.642
Clinical Epidemiology,1.641
Journal of Orthopaedic Translation,1.641
Stochastics and Partial Differential Equations: Analysis and Computations,1.641
Addictive Behaviors,1.638
Journal of Numerical Mathematics,1.638
EMS Surveys in Mathematical Sciences,1.637
Journal of Building Engineering,1.636
Journal of Hazardous Materials Advances,1.636
Journal of Common Market Studies,1.635
Journal of Communications and Information Networks,1.635
Wind Energy Science,1.635
Journal of NeuroInterventional Surgery,1.634
SIAM Journal on Scientific Computing,1.634
Journal of Education Policy,1.632
Journal of Topology,1.632
Energy and Buildings,1.631
Digestive Endoscopy,1.63
Review of Communication Research,1.63
Reviews in Fisheries Science and Aquaculture,1.63
Biofabrication,1.628
Computers and Industrial Engineering,1.628
Allergology International,1.627
IEEE Transactions on Industry Applications,1.626
Thin-Walled Structures,1.625
Chip,1.624
ACS Sustainable Chemistry and Engineering,1.623
Climate of the Past,1.623
Cochrane Database of Systematic Reviews,1.623
Journal of Computing in Higher Education,1.623
International Journal of Qualitative Methods,1.622
People and Nature,1.621
Decision Sciences,1.62
European Journal of Psychology Applied to Legal Context,1.62
IEEE Transactions on Emerging Topics in Computational Intelligence,1.62
Journal of Medical Genetics,1.62
Microbiological Research,1.62
Journal of Management in Engineering,1.619
Paleoceanography and Paleoclimatology,1.619
China Economic Review,1.618
Harmful Algae,1.618
Journal of CO2 Utilization,1.618
Shiyou Xuebao/Acta Petrolei Sinica,1.618
Virtual Economics,1.618
Autism Research,1.616
Psychiatric Services,1.616
Rhinology,1.615
Fuel,1.614
Sport Management Review,1.614
Therapeutic Advances in Neurological Disorders,1.614
Case Studies in Construction Materials,1.613
Biologics: Targets and Therapy,1.612
Gondwana Research,1.612
Molecular Diagnosis and Therapy,1.612
Sustainable Materials and Technologies,1.612
VIEW,1.612
Behavior Therapy,1.611
Evolution Letters,1.611
International Journal of Sports Physiology and Performance,1.61
RILEM Technical Letters,1.61
SciPost Physics,1.61
Journal of Marriage and Family,1.609
Journal of Rural Health,1.609
Frontiers in Cell and Developmental Biology,1.608
World Journal of Emergency Surgery,1.607
Current Opinion in Neurology,1.606
Journal of Orthopaedic and Sports Physical Therapy,1.606
Psychiatry Research,1.606
Sustainable Energy Technologies and Assessments,1.606
BME Frontiers,1.605
Computers and Operations Research,1.605
Information Technology and Tourism,1.604
European Journal of Human Genetics,1.603
Food Packaging and Shelf Life,1.603
Tectonics,1.603
Fuel Processing Technology,1.602
Human Communication Research,1.602
Neurobiology of Stress,1.602
Biogeochemistry,1.6
Developmental Medicine and Child Neurology,1.6
Smart Energy,1.6
Biochemical Pharmacology,1.599
Food Security,1.599
Astrodynamics,1.598
Current Protocols,1.598
Journal of Geophysical Research: Planets,1.598
Review of General Psychology,1.598
ACS Materials Au,1.597
Human Genetics,1.597
Microstructures,1.597
Journal of Graph Theory,1.595
Media Psychology,1.594
Transactions of the American Mathematical Society Series B,1.594
Journal of Language and Social Psychology,1.593
LGBT Health,1.593
Neuropathology and Applied Neurobiology,1.593
Physical Review Research,1.593
European Societies,1.592
Infectious Diseases of Poverty,1.592
Applied Economic Perspectives and Policy,1.591
Current Opinion in Insect Science,1.591
IEEE Open Journal of Industry Applications,1.591
Learning and Individual Differences,1.591
Postdigital Science and Education,1.591
Psychology of Sexual Orientation and Gender Diversity,1.591
European Archives of Psychiatry and Clinical Neuroscience,1.59
Educational Studies in Mathematics,1.589
Horticultural Plant Journal,1.589
International Journal of Obesity,1.589
Neuropharmacology,1.589
BJU International,1.588
Climate Dynamics,1.588
Arthritis Research and Therapy,1.587
International Journal of Mental Health Nursing,1.586
Campbell Systematic Reviews,1.585
International Journal of Neuropsychopharmacology,1.585
Molecules and Cells,1.585
Psychology and Aging,1.585
Virulence,1.585
Human Brain Mapping,1.584
Meat Science,1.584
Journal of Animal Science and Biotechnology,1.583
Planetary Science Journal,1.582
Journal of Family Theory and Review,1.58
Theory and Research in Social Education,1.58
Applied Thermal Engineering,1.579
European Urology Open Science,1.579
International Journal of Neural Systems,1.579
Journal of Science Education and Technology,1.579
Wiley Interdisciplinary Reviews: Energy and Environment,1.577
Annals of Intensive Care,1.576
JPhys Photonics,1.576
Medical sciences,1.576
Japanese Dental Science Review,1.575
Journal of Personal Selling and Sales Management,1.575
Annals of Applied Probability,1.574
Medical Care,1.574
Psychotherapy Research,1.574
Cell Surface,1.573
Cellular Oncology,1.573
Development and Psychopathology,1.573
Philosophy and Phenomenological Research,1.573
Bio-Design and Manufacturing,1.571
Current Opinion in Chemical Engineering,1.571
IEEE Transactions on Big Data,1.571
Supramolecular Materials,1.571
Climatic Change,1.57
Journal of Cheminformatics,1.57
Respirology,1.57
Cancer Research Communications,1.569
Journal of Agricultural Economics,1.569
Aerospace Science and Technology,1.567
Developmental Psychology,1.567
IEEE Open Journal of the Computer Society,1.567
Information Technology and People,1.567
Molecular Plant Pathology,1.567
Human Resources for Health,1.566
International Journal of Cognitive Computing in Engineering,1.566
Limnology and Oceanography,1.566
NeuroImage: Clinical,1.566
Social Forces,1.566
Early Childhood Research Quarterly,1.565
Immunotherapy Advances,1.565
GeroScience,1.564
Green Energy and Resources,1.563
International Journal of Mental Health Systems,1.563
Urban Climate,1.563
Journal of Travel Medicine,1.562
Vehicular Communications,1.562
Computational and Structural Biotechnology Journal,1.561
Environmental Sciences Europe,1.561
European Journal of Neurology,1.561
Teacher Education and Special Education,1.561
Human Molecular Genetics,1.56
Journal of Catalysis,1.558
mSystems,1.558
Policy and Society,1.558
Quarterly Journal of the Royal Meteorological Society,1.558
Journal of Applied Behavior Analysis,1.557
Current Allergy and Asthma Reports,1.556
Journal of Manufacturing Processes,1.556
Current Neuropharmacology,1.555
Current Research in Immunology,1.555
Respiratory Research,1.555
Journal of Geodesy,1.554
Ecotoxicology and Environmental Safety,1.553
Space: Science and Technology (United States),1.553
British Journal of Educational Psychology,1.552
ISA Transactions,1.552
Acta Materia Medica,1.551
Dialogues in Clinical Neuroscience,1.551
Future Generation Computer Systems,1.551
Advanced Materials Technologies,1.549
Fortschritte der Physik,1.549
Human Development,1.549
Therapeutic Advances in Medical Oncology,1.549
ACM Transactions on Computing for Healthcare,1.548
Annual Review of Linguistics,1.548
IEEE Open Journal of the Industrial Electronics Society,1.548
Neuromorphic Computing and Engineering,1.548
Stem Cells Translational Medicine,1.547
Translational Stroke Research,1.546
International Journal of Intelligent Networks,1.545
Journal of European Social Policy,1.545
Journal of Geophysical Research: Atmospheres,1.545
BMJ Open Diabetes Research and Care,1.544
British Accounting Review,1.544
Crop Journal,1.544
Journal of Financial Markets,1.544
Journal of Traffic and Transportation Engineering (English Edition),1.544
Life Science Alliance,1.544
Solar RRL,1.544
Cell Biology and Toxicology,1.543
Cornell Hospitality Quarterly,1.543
Frontiers in Synaptic Neuroscience,1.543
Canadian Journal of Cardiology,1.542
Clinical and Experimental Allergy,1.542
Critical Inquiry in Language Studies,1.542
Journal of Neurotrauma,1.542
ACM Transactions on Information Systems,1.54
Journal of Consumer Culture,1.54
Earth System Governance,1.539
Microbial Genomics,1.539
Climate Risk Management,1.538
Journal de l'Ecole Polytechnique - Mathematiques,1.538
Progress in Orthodontics,1.538
Diabetes Research and Clinical Practice,1.537
Policy and Internet,1.537
Econometric Reviews,1.536
European Radiology,1.535
Foundations and Trends in Information Retrieval,1.535
Transportation Geotechnics,1.535
Advances in Calculus of Variations,1.534
Journal of Sound and Vibration,1.534
ZDM - International Journal on Mathematics Education,1.534
Analytical Chemistry,1.533
JTO Clinical and Research Reports,1.533
Philosophy Compass,1.533
Environmental Microbiome,1.532
Journal of Manufacturing Technology Management,1.532
"Nonlinear Analysis, Theory, Methods and Applications",1.532
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",1.531
Cell Calcium,1.531
"Theory, Culture and Society",1.531
APL Photonics,1.53
Journal of Dentistry,1.53
Security Dialogue,1.53
Innovation in Language Learning and Teaching,1.529
Journal of Migration and Health,1.529
Sustainable Structures,1.529
Acta Physiologica,1.528
Cleaner Logistics and Supply Chain,1.528
Explorations in Economic History,1.528
IEEE Transactions on Aerospace and Electronic Systems,1.528
Frontiers of Environmental Science and Engineering,1.527
Georisk,1.527
Internet of Things (The Netherlands),1.527
Patterns,1.527
Infectious Diseases and Therapy,1.526
Journal of Intellectual Capital,1.526
Annual Review of Analytical Chemistry,1.525
Journal of Sleep Research,1.525
Nous-Supplement: Philosophical Perspectives,1.525
Dental Materials,1.524
Political Geography,1.524
Proceedings of the Combustion Institute,1.524
Nutrition and Diabetes,1.523
Progress in Electromagnetics Research,1.523
"Journal of International Financial Markets, Institutions and Money",1.522
Population and Development Review,1.522
Best Practice and Research: Clinical Rheumatology,1.521
Clinical Psychology: Science and Practice,1.521
Educational Review,1.521
IEEE Transactions on Multimedia,1.521
Journal of Pathology: Clinical Research,1.521
Medical Clinics of North America,1.521
BioDesign Research,1.519
Surveys in Geophysics,1.519
"Sustainability: Science, Practice, and Policy",1.519
Algebra and Number Theory,1.518
International Studies Quarterly,1.518
Bone and Joint Open,1.517
Critical Studies in Education,1.517
Ijtihad: Jurnal Wacana Hukum Islam dan Kemanusiaan,1.517
Nicotine and Tobacco Research,1.517
Developments in the Built Environment,1.516
Radiographics,1.516
ACS Polymers Au,1.515
Clinical Lung Cancer,1.515
European Sociological Review,1.515
International Mathematics Research Notices,1.515
Neuroscience Bulletin,1.515
Sustainability Science,1.515
Clinical Research in Cardiology,1.514
Journal of Brand Management,1.514
Columbia Law Review,1.513
Medical Journal of Australia,1.513
NPJ Ocean Sustainability,1.513
European Journal of Vascular and Endovascular Surgery,1.512
Journal of Translational Autoimmunity,1.512
Applied Soft Computing,1.511
Language Testing,1.511
Food Reviews International,1.51
Conflict Management and Peace Science,1.509
Sensors and Actuators B: Chemical,1.509
Biological Psychiatry Global Open Science,1.508
Environmental Health: A Global Access Science Source,1.508
Journal of the American Planning Association,1.508
Philosophy and Public Affairs,1.508
Tissue Barriers,1.507
Communications in Mathematical Physics,1.506
Journal of Adolescence,1.506
Journal of Experimental Political Science,1.506
Environmental Toxicology and Chemistry,1.505
European Heart Journal Open,1.505
Journal of Physical Oceanography,1.504
Methods in Psychology,1.503
PLoS Computational Biology,1.503
Police Quarterly,1.503
China Petroleum Exploration,1.502
Ecosystems,1.502
Innovative Food Science and Emerging Technologies,1.502
International Journal of Geographical Information Science,1.502
Journal of Political Philosophy,1.501
Advances in Climate Change Research,1.5
Cancer Cell International,1.5
Expert Reviews in Molecular Medicine,1.5
IEEE Transactions on Network and Service Management,1.5
Journal of International Business Policy,1.5
Kidney International Reports,1.5
DNA Repair,1.499
Experimental Neurology,1.499
Journal of Neurochemistry,1.499
Nucleic Acid Therapeutics,1.499
Society and Mental Health,1.498
Child Abuse and Neglect,1.497
Clinical Psychology and Psychotherapy,1.497
Clinics in Chest Medicine,1.497
Journal of Philosophical Logic,1.497
Physical Review Physics Education Research,1.497
Sociology,1.497
Emerging Contaminants,1.496
GCB Bioenergy,1.496
Housing Studies,1.496
Cancer Drug Resistance,1.495
Global Sustainability,1.495
"Journal of Health Politics, Policy and Law",1.495
Monthly Weather Review,1.495
European Heart Journal - Digital Health,1.494
Journal of Clinical Psychiatry,1.494
Scandinavian Journal of Medicine and Science in Sports,1.494
Corporate Governance: An International Review,1.493
Child and Adolescent Psychiatry and Mental Health,1.492
Annals of Behavioral Medicine,1.491
Ecological Informatics,1.491
European Journal of Cell Biology,1.491
Neural Networks,1.491
Public Health Reviews,1.491
BRQ Business Research Quarterly,1.49
European Review of Agricultural Economics,1.49
"Geochemistry, Geophysics, Geosystems",1.49
Green Chemical Engineering,1.49
Journal of Climate Change and Health,1.49
Palliative Medicine,1.49
Food Chemistry: X,1.489
Frontiers in Cellular Neuroscience,1.488
International Journal of Engineering Science,1.488
Worldviews on Evidence-Based Nursing,1.488
Endocrinology and Metabolism,1.487
Journal of Psychiatric Research,1.487
Annals of the American Association of Geographers,1.486
International Journal of Greenhouse Gas Control,1.486
Journal of Industrial Economics,1.486
Quantitative Science Studies,1.486
Communications Chemistry,1.485
International Journal of Gynecological Cancer,1.485
Antioxidants,1.484
Clinical Simulation in Nursing,1.484
Pedosphere,1.484
Career Development International,1.483
Environment and Behavior,1.483
International Journal of Drug Policy,1.483
International Journal of Smart and Nano Materials,1.483
Nurse Education Today,1.483
Schizophrenia,1.483
Journal of Chemical Theory and Computation,1.482
Histopathology,1.481
IEEE Robotics and Automation Letters,1.481
Medical Decision Making,1.481
Bernoulli,1.48
Journal of World Prehistory,1.48
LWT,1.48
Weather and Forecasting,1.48
Arthritis Care and Research,1.479
Frontiers in Aging Neuroscience,1.479
Human Factors,1.479
Journal of Cell Science,1.479
Science China Information Sciences,1.479
Advanced Electronic Materials,1.478
Bioengineering and Translational Medicine,1.478
Journal of Prosthodontics,1.478
Australian Journal of Psychology,1.477
Current Osteoporosis Reports,1.477
International Journal of Mental Health and Addiction,1.477
Journal of Learning Disabilities,1.477
Phytotherapy Research,1.477
Journal of Hospitality and Tourism Technology,1.476
Plant Cell Reports,1.475
European Research on Management and Business Economics,1.473
Journal of Geophysical Research: Earth Surface,1.473
Journal of Molecular Medicine,1.473
Nutrients,1.473
Process Safety and Environmental Protection,1.473
Annals of Physical and Rehabilitation Medicine,1.472
