category,journal_title,e_issn,impact_factor,impact_factor_raw
Chemistry,ORGANOMETALLICS,1520-6041,2.5,2.5
Chemistry,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,1464-3405,2.5,2.5
Chemistry,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,1099-0690,2.5,2.5
Chemistry,Separations,2297-8739,2.5,2.5
Chemistry,Journal of Analytical Science and Technology,2093-3371,2.5,2.5
Chemistry,SLAS Technology,2472-6311,2.5,2.5
Chemistry,Results in Chemistry,2211-7156,2.5,2.5
Chemistry,ChemistryOpen,2191-1363,2.5,2.5
Chemistry,Colloids and Interfaces,2504-5377,2.5,2.5
Chemistry,POLYCYCLIC AROMATIC COMPOUNDS,1563-5333,2.4,2.4
Chemistry,Carbohydrate Research,1873-426X,2.4,2.4
Chemistry,Methods and Applications in Fluorescence,2050-6120,2.4,2.4
Chemistry,Chemistry-Switzerland,2624-8549,2.4,2.4
Chemistry,Moroccan Journal of Chemistry,2351-812X,2.4,2.4
Chemistry,ACS Agricultural Science & Technology,2692-1952,2.3,2.3
Chemistry,Journal of Analytical Methods in Chemistry,2090-8873,2.3,2.3
Chemistry,CHEMISTRY & BIODIVERSITY,1612-1880,2.3,2.3
Chemistry,Chemistry Africa-A Journal of the Tunisian Chemical Society,2522-5766,2.3,2.3
Chemistry,CATALYSIS LETTERS,1572-879X,2.3,2.3
Chemistry,BULLETIN OF THE KOREAN CHEMICAL SOCIETY,1229-5949,2.3,2.3
Chemistry,ISRAEL JOURNAL OF CHEMISTRY,1869-5868,2.3,2.3
Chemistry,ALDRICHIMICA ACTA,N/A,2.2,2.2
Chemistry,JOURNAL OF COORDINATION CHEMISTRY,1029-0389,2.2,2.2
Chemistry,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,1099-0682,2.2,2.2
Chemistry,Beilstein Journal of Organic Chemistry,1860-5397,2.2,2.2
Chemistry,SYNTHESIS-STUTTGART,1437-210X,2.2,2.2
Chemistry,Journal of the Iranian Chemical Society,1735-2428,2.2,2.2
Chemistry,Reactions,2624-781X,2.2,2.2
Chemistry,Journal of Organometallic Chemistry,1872-8561,2.1,2.1
Chemistry,TETRAHEDRON,1464-5416,2.1,2.1
Chemistry,Research in Pharmaceutical Sciences,1735-9414,2.1,2.1
Chemistry,Open Chemistry,2391-5420,2.1,2.1
Chemistry,CHEMICAL PAPERS,2585-7290,2.1,2.1
Chemistry,Journal of Sulfur Chemistry,1741-6000,2.1,2.1
Chemistry,SUPRAMOLECULAR CHEMISTRY,1029-0478,2.1,2.1
Chemistry,CATALYSIS SURVEYS FROM ASIA,1574-9266,2.1,2.1
Chemistry,PROGRESS IN REACTION KINETICS AND MECHANISM,1471-406X,2.1,2.1
Chemistry,JOURNAL OF HETEROCYCLIC CHEMISTRY,1943-5193,2.0,2
Chemistry,SynOpen,2509-9396,2.0,2
Chemistry,Journal of Computational Biophysics and Chemistry,2737-4173,2.0,2
Chemistry,Journal of Flow Chemistry,2063-0212,2.0,2
Chemistry,PURE AND APPLIED CHEMISTRY,1365-3075,2.0,2
Chemistry,Medicinal Chemistry,1875-6638,1.9,1.9
Chemistry,Avicenna Journal of Phytomedicine,2228-7949,1.9,1.9
Chemistry,NATURAL PRODUCT RESEARCH,1478-6427,1.9,1.9
Chemistry,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,1099-1395,1.9,1.9
Chemistry,Bioanalysis,1757-6199,1.9,1.9
Chemistry,ChemistrySelect,2365-6549,1.9,1.9
Chemistry,Mini-Reviews in Organic Chemistry,1875-6298,1.9,1.9
Chemistry,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,1532-2351,1.9,1.9
Chemistry,MAIN GROUP METAL CHEMISTRY,2191-0219,1.8,1.8
Chemistry,RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,1531-8613,1.8,1.8
Chemistry,SYNTHETIC COMMUNICATIONS,1532-2432,1.8,1.8
Chemistry,ANALYTICAL SCIENCES,1348-2246,1.8,1.8
Chemistry,CHINESE JOURNAL OF ORGANIC CHEMISTRY,0253-2786,1.8,1.8
Chemistry,JOURNAL OF PEPTIDE SCIENCE,1099-1387,1.8,1.8
Chemistry,Journal of Chemical Metrology,1307-6183,1.8,1.8
Chemistry,SOLVENT EXTRACTION AND ION EXCHANGE,1532-2262,1.8,1.8
Chemistry,Chromatography,1348-3315,1.8,1.8
Chemistry,MENDELEEV COMMUNICATIONS,1364-551X,1.8,1.8
Chemistry,SYNLETT,1437-2096,1.7,1.7
Chemistry,JOURNAL OF FLUORINE CHEMISTRY,1873-3328,1.7,1.7
Chemistry,ACTA CHROMATOGRAPHICA,2083-5736,1.7,1.7
Chemistry,Organic Communications,1307-6175,1.7,1.7
Chemistry,Current Analytical Chemistry,1875-6727,1.7,1.7
Chemistry,CURRENT ORGANIC SYNTHESIS,1875-6271,1.7,1.7
Chemistry,JOURNAL OF CHEMICAL SCIENCES,0973-7103,1.7,1.7
Chemistry,MONATSHEFTE FUR CHEMIE,1434-4475,1.7,1.7
Chemistry,CURRENT ORGANIC CHEMISTRY,1875-5348,1.7,1.7
Chemistry,RUSSIAN CHEMICAL BULLETIN,1573-9171,1.7,1.7
Chemistry,ACTA CHIMICA SINICA,N/A,1.7,1.7
Chemistry,Johnson Matthey Technology Review,2056-5135,1.7,1.7
Chemistry,JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,1573-1111,1.7,1.7
Chemistry,Reaction Kinetics Mechanisms and Catalysis,1878-5204,1.7,1.7
Chemistry,ANALYTICAL LETTERS,1532-236X,1.6,1.6
Chemistry,JOURNAL OF THE CHINESE CHEMICAL SOCIETY,2192-6549,1.6,1.6
Chemistry,THEORETICAL CHEMISTRY ACCOUNTS,1432-2234,1.6,1.6
Chemistry,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,0717-9707,1.6,1.6
Chemistry,SURFACE AND INTERFACE ANALYSIS,1096-9918,1.6,1.6
Chemistry,TRANSITION METAL CHEMISTRY,1572-901X,1.6,1.6
Chemistry,TETRAHEDRON LETTERS,1873-3581,1.5,1.5
Chemistry,International Journal of Analytical Chemistry,1687-8779,1.5,1.5
Chemistry,JOURNAL OF CHROMATOGRAPHIC SCIENCE,1945-239X,1.5,1.5
Chemistry,HELVETICA CHIMICA ACTA,1522-2675,1.5,1.5
Chemistry,INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,1097-4601,1.5,1.5
Chemistry,Chemical Biology Letters,2347-9825,1.4,1.4
Chemistry,Chemistry of Heterocyclic Compounds,1573-8353,1.4,1.4
Chemistry,PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,1563-5325,1.4,1.4
Chemistry,Organics,2673-401X,1.4,1.4
Chemistry,Physical Chemistry Research,2345-2625,1.4,1.4
Chemistry,CHEMISTRY LETTERS,1348-0715,1.4,1.4
Chemistry,JOURNAL OF SOLUTION CHEMISTRY,1572-8927,1.4,1.4
Chemistry,COLLOID JOURNAL,1608-3067,1.4,1.4
Chemistry,HETEROCYCLIC COMMUNICATIONS,2191-0197,1.3,1.3
Chemistry,Separation Science Plus,2573-1815,1.3,1.3
Chemistry,MAIN GROUP CHEMISTRY,1745-1167,1.3,1.3
Chemistry,BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,1726-801X,1.3,1.3
Chemistry,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,1678-4790,1.3,1.3
Chemistry,Vietnam Journal of Chemistry,2572-8288,1.3,1.3
Chemistry,KINETICS AND CATALYSIS,1608-3210,1.3,1.3
Chemistry,CHROMATOGRAPHIA,1612-1112,1.2,1.2
Chemistry,ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,1945-5453,1.2,1.2
Chemistry,Letters in Drug Design & Discovery,1875-628X,1.2,1.2
Chemistry,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,1872-2040,1.2,1.2
Chemistry,COMPTES RENDUS CHIMIE,1878-1543,1.2,1.2
Chemistry,JOURNAL OF CARBOHYDRATE CHEMISTRY,1532-2327,1.2,1.2
Chemistry,JOURNAL OF STRUCTURAL CHEMISTRY,1573-8779,1.2,1.2
Chemistry,ACTA CHIMICA SLOVENICA,1580-3155,1.2,1.2
Chemistry,Chinese Journal of Chromatography,1000-8713,1.2,1.2
Chemistry,RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,1608-3318,1.1,1.1
Chemistry,ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,1521-3749,1.1,1.1
Chemistry,Analytical and Bioanalytical Chemistry Research,2383-093X,1.1,1.1
Chemistry,JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,1789-0993,1.1,1.1
Chemistry,Brazilian Journal of Analytical Chemistry,2179-3433,1.1,1.1
Chemistry,Journal of the Mexican Chemical Society,1665-9686,1.1,1.1
Chemistry,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,1608-330X,1.1,1.1
Chemistry,EGYPTIAN JOURNAL OF CHEMISTRY,2357-0245,1.1,1.1
Chemistry,Canadian Journal of Chemistry,1480-3291,1.1,1.1
Chemistry,CHIMIA,0009-4293,1.1,1.1
Chemistry,DOKLADY PHYSICAL CHEMISTRY,1608-3121,1.1,1.1
Chemistry,HETEROATOM CHEMISTRY,1098-1071,1.1,1.1
Chemistry,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,1520-572X,1.0,1
Chemistry,Analytical Chemistry Letters,2230-7532,1.0,1
Chemistry,JOURNAL OF ANALYTICAL CHEMISTRY,1608-3199,1.0,1
Chemistry,Iranian Journal of Mathematical Chemistry,2008-9015,1.0,1
Chemistry,JOURNAL OF CHEMICAL RESEARCH,2047-6507,1.0,1
Chemistry,Chemistry & Chemical Technology,1996-4196,1.0,1
Chemistry,Indonesian Journal of Chemistry,1411-9420,1.0,1
Chemistry,JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,0352-5139,1.0,1
Chemistry,AUSTRALIAN JOURNAL OF CHEMISTRY,1445-0038,1.0,1
Chemistry,Macroheterocycles,1998-9539,1.0,1
Chemistry,Ovidius University Annals of Chemistry,2286-038X,1.0,1
Chemistry,PROGRESS IN CHEMISTRY,1005-281X,1.0,1
Chemistry,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,1099-1344,0.9,0.9
Chemistry,RADIOCHEMISTRY,1608-3288,0.9,0.9
Chemistry,Journal of Biologically Active Products from Nature,2231-1874,0.9,0.9
Chemistry,JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,1099-1409,0.9,0.9
Chemistry,Acta Chimica Slovaca,1339-3065,0.9,0.9
Chemistry,RUSSIAN JOURNAL OF GENERAL CHEMISTRY,1608-3350,0.9,0.9
Chemistry,Current Organocatalysis,2213-3380,0.9,0.9
Chemistry,HIGH ENERGY CHEMISTRY,1608-3148,0.9,0.9
Chemistry,Current Microwave Chemistry,2213-3364,0.9,0.9
Chemistry,CHEMIE IN UNSERER ZEIT,1521-3781,0.9,0.9
Chemistry,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,1865-7117,0.8,0.8
Chemistry,CHEMISTRY OF NATURAL COMPOUNDS,1573-8388,0.8,0.8
Chemistry,CHINESE JOURNAL OF INORGANIC CHEMISTRY,1001-4861,0.8,0.8
Chemistry,RUSSIAN JOURNAL OF ORGANIC CHEMISTRY,1608-3393,0.8,0.8
Chemistry,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,1996-840X,0.8,0.8
Chemistry,HETEROCYCLES,1881-0942,0.8,0.8
Chemistry,ARKIVOC,1551-7012,0.8,0.8
Chemistry,LCGC EUROPE,1471-6577,0.8,0.8
Chemistry,DOKLADY CHEMISTRY,1608-3113,0.8,0.8
Chemistry,LETTERS IN ORGANIC CHEMISTRY,1875-6255,0.7,0.7
Chemistry,ORGANIC SYNTHESES,2333-3553,0.7,0.7
Chemistry,Natural Products Journal,2210-3163,0.7,0.7
Chemistry,LCGC North America,1939-1889,0.7,0.7
Chemistry,Methods and Objects of Chemical Analysis,2413-6166,0.7,0.7
Chemistry,CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,0251-0790,0.7,0.7
Chemistry,Moscow University Chemistry Bulletin,1935-0260,0.7,0.7
Chemistry,Russian Journal of Physical Chemistry A,1531-863X,0.7,0.7
Chemistry,Theoretical and Experimental Chemistry,1573-935X,0.7,0.7
Chemistry,Orbital-The Electronic Journal of Chemistry,1984-6428,0.7,0.7
Chemistry,CROATICA CHEMICA ACTA,1334-417X,0.7,0.7
Chemistry,Molbank,1422-8599,0.6,0.6
Chemistry,Pharmacognosy Magazine,0976-4062,0.6,0.6
Chemistry,Izvestiya Vysshikh Uchebnykh Zavedenii Khimiya i Khimicheskaya Tekhnologiya,2500-3070,0.6,0.6
Chemistry,JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,0253-5106,0.6,0.6
Chemistry,RUSSIAN JOURNAL OF APPLIED CHEMISTRY,1608-3296,0.6,0.6
Chemistry,Kemija u Industriji-Journal of Chemists and Chemical Engineers,1334-9090,0.6,0.6
Chemistry,Bulletin of the University of Karaganda-Chemistry,2663-4872,0.6,0.6
Chemistry,CHEMICKE LISTY,1213-7103,0.6,0.6
Chemistry,QUIMICA NOVA,1678-7064,0.5,0.5
Chemistry,Chemija,0235-7216,0.5,0.5
Chemistry,Eurasian Chemico-Technological Journal,1562-3920,0.5,0.5
Chemistry,Journal of Water Chemistry and Technology,1934-936X,0.5,0.5
Chemistry,Journal of Chemistry and Technologies,2663-2942,0.5,0.5
Chemistry,Journal of Siberian Federal University-Chemistry,2313-6049,0.5,0.5
Chemistry,Chemistry Journal of Moldova,2345-1688,0.5,0.5
Chemistry,Studia Universitatis Babes-Bolyai Chemia,N/A,0.5,0.5
Chemistry,INDIAN JOURNAL OF CHEMISTRY,0019-5103,0.4,0.4
Chemistry,Pakistan Journal of Analytical & Environmental Chemistry,2221-5255,0.4,0.4
Chemistry,French-Ukrainian Journal of Chemistry,2312-3222,0.4,0.4
Chemistry,REVUE ROUMAINE DE CHIMIE,N/A,0.4,0.4
Chemistry,Acta Chemica Iasi,2067-2446,0.4,0.4
Chemistry,Chemistry for Sustainable Development,0869-8538,0.4,0.4
Chemistry,Jordan Journal of Chemistry,2079-7249,0.4,0.4
Chemistry,Revista Virtual de Quimica,1984-6835,0.4,0.4
Chemistry,Journal of the Korean Chemical Society-Daehan Hwahak Hoe Jee,2234-8530,0.3,0.3
Chemistry,Oriental Journal of Chemistry,2231-5039,0.3,0.3
Chemistry,University Politehnica of Bucharest Scientific Bulletin Series B-Chemistry and Materials Science,1454-2331,0.3,0.3
Chemistry,Chemical Bulletin of Kazakh National University,2312-7554,0.3,0.3
Chemistry,Scientific Study and Research-Chemistry and Chemical Engineering Biotechnology Food Industry,1582-540X,0.3,0.3
Chemistry,CHEMISTRY & INDUSTRY,2047-6329,0.3,0.3
Chemistry,Analytical Science and Technology,2288-8985,0.2,0.2
Chemistry,INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,2456-4311,0.2,0.2
Chemistry,Revista Colombiana de Quimica,2357-3791,0.2,0.2
Chemistry,Periodico Tche Quimica,2179-0302,0.2,0.2
Chemistry,BUNSEKI KAGAKU,N/A,0.2,0.2
Chemistry,Glasnik Hemicara i Tehnologa Bosne i Hercegovine,2232-7266,0.2,0.2
Chemistry,Izvestiya Vuzov-Prikladnaya Khimiya i Biotekhnologiya,2500-1558,0.2,0.2
Chemistry,JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,N/A,0.2,0.2
Chemistry,AFINIDAD,2339-9686,0.2,0.2
Chemistry,Heterocyclic Letters,2230-9632,0.1,0.1
Chemistry,Journal of Computer Chemistry-Japan,1347-3824,0.1,0.1
Chemistry,Nature Synthesis,2731-0582,,N/A
Computer Science,Foundations and Trends in Machine Learning,1935-8245,65.3,65.3
Computer Science,ACM COMPUTING SURVEYS,1557-7341,23.8,23.8
Computer Science,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,1873-4707,20.1,20.1
Computer Science,Nature Machine Intelligence,2522-5839,18.8,18.8
Computer Science,Computational Visual Media,2096-0662,17.3,17.3
Computer Science,Information Fusion,1872-6305,14.7,14.7
Computer Science,Computer Science Review,1876-7745,13.3,13.3
Computer Science,Applied Computing and Informatics,2210-8327,12.3,12.3
Computer Science,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1941-0026,11.7,11.7
Computer Science,INTERNATIONAL JOURNAL OF COMPUTER VISION,1573-1405,11.6,11.6
Computer Science,COMMUNICATIONS OF THE ACM,1557-7317,11.1,11.1
Computer Science,ARTIFICIAL INTELLIGENCE REVIEW,1573-7462,10.7,10.7
Computer Science,IEEE Computational Intelligence Magazine,1556-6048,10.3,10.3
Computer Science,IEEE Transactions on Affective Computing,1949-3045,9.6,9.6
Computer Science,IEEE Transactions on Cybernetics,2168-2275,9.4,9.4
Computer Science,IEEE Transactions on Systems Man Cybernetics-Systems,2168-2232,8.6,8.6
Computer Science,Journal of Big Data,2196-1115,8.6,8.6
Computer Science,CAAI Transactions on Intelligence Technology,2468-2322,8.4,8.4
Computer Science,Foundations and Trends in Information Retrieval,1554-0677,8.3,8.3
Computer Science,Swarm and Evolutionary Computation,2210-6510,8.2,8.2
Computer Science,Artificial Intelligence in Agriculture,2589-7217,8.2,8.2
Computer Science,COMPUTERS IN INDUSTRY,1872-6194,8.2,8.2
Computer Science,ACM TRANSACTIONS ON GRAPHICS,1557-7368,7.8,7.8
Computer Science,Big Data Mining and Analytics,2096-0654,7.7,7.7
Computer Science,COMPUTERS AND ELECTRONICS IN AGRICULTURE,1872-7107,7.7,7.7
Computer Science,Information Processing in Agriculture,2214-3173,7.7,7.7
Computer Science,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,1095-8592,7.7,7.7
Computer Science,IEEE Transactions on Big Data,2332-7790,7.5,7.5
Computer Science,Business & Information Systems Engineering,1867-0202,7.4,7.4
Computer Science,APPLIED SOFT COMPUTING,1872-9681,7.2,7.2
Computer Science,KNOWLEDGE-BASED SYSTEMS,1872-7409,7.2,7.2
Computer Science,ACM Transactions on Intelligent Systems and Technology,2157-6912,7.2,7.2
Computer Science,Journal of Cheminformatics,1758-2946,7.1,7.1
Computer Science,IEEE Transactions on Dependable and Secure Computing,1941-0018,7.0,7
Computer Science,INFORMATION SYSTEMS FRONTIERS,1572-9419,6.9,6.9
Computer Science,Blockchain-Research and Applications,2096-7209,6.9,6.9
Computer Science,Patterns,2666-3899,6.7,6.7
Computer Science,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1557-7392,6.6,6.6
Computer Science,International Journal of Neural Systems,1793-6462,6.6,6.6
Computer Science,INFORMATION SYSTEMS JOURNAL,1365-2575,6.5,6.5
Computer Science,Machine Intelligence Research,2731-5398,6.4,6.4
Computer Science,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1942-4795,6.4,6.4
Computer Science,Future Generation Computer Systems-The International Journal of eScience,1872-7115,6.2,6.2
Computer Science,Digital Discovery,2635-098X,6.2,6.2
Computer Science,Electronic Commerce Research and Applications,1873-7846,5.9,5.9
Computer Science,Journal of Chemical Information and Modeling,1549-960X,5.6,5.6
Computer Science,IEEE Transactions on Services Computing,1939-1374,5.5,5.5
Computer Science,NEUROCOMPUTING,1872-8286,5.5,5.5
Computer Science,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1558-2868,5.4,5.4
Computer Science,Journal of Computer-Mediated Communication,1083-6101,5.4,5.4
Computer Science,IEEE Transactions on Cloud Computing,2168-7161,5.3,5.3
Computer Science,IEEE Transactions on Emerging Topics in Computational Intelligence,2471-285X,5.3,5.3
Computer Science,Journal of King Saud University-Computer and Information Sciences,2213-1248,5.2,5.2
Computer Science,ACM Transactions on Multimedia Computing Communications and Applications,1551-6865,5.2,5.2
Computer Science,Data Science and Engineering,2364-1541,5.1,5.1
Computer Science,ARTIFICIAL INTELLIGENCE,1872-7921,5.1,5.1
Computer Science,Egyptian Informatics Journal,2090-4754,5.0,5
Computer Science,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,1098-111X,5.0,5
Computer Science,Complex & Intelligent Systems,2198-6053,5.0,5
Computer Science,COMPUTERS & SECURITY,1872-6208,4.8,4.8
Computer Science,ACM Transactions on Computer-Human Interaction,1557-7325,4.8,4.8
Computer Science,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1941-0506,4.7,4.7
Computer Science,IEEE Transactions on Network and Service Management,1932-4537,4.7,4.7
Computer Science,International Journal of Artificial Intelligence in Education,1560-4306,4.7,4.7
Computer Science,EVOLUTIONARY COMPUTATION,1530-9304,4.6,4.6
Computer Science,IEEE Transactions on Computational Social Systems,2329-924X,4.5,4.5
Computer Science,NEURAL COMPUTING & APPLICATIONS,1433-3058,4.5,4.5
Computer Science,HUMAN-COMPUTER INTERACTION,1532-7051,4.5,4.5
Computer Science,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1943-5037,4.5,4.5
Computer Science,Enterprise Information Systems,1751-7583,4.4,4.4
Computer Science,MACHINE LEARNING,1573-0565,4.3,4.3
Computer Science,JOURNAL OF MACHINE LEARNING RESEARCH,N/A,4.3,4.3
Computer Science,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,1557-9301,4.2,4.2
Computer Science,MINDS AND MACHINES,1572-8641,4.2,4.2
Computer Science,COMPUTER STANDARDS & INTERFACES,1872-7018,4.1,4.1
Computer Science,International Journal on Semantic Web and Information Systems,1552-6291,4.1,4.1
Computer Science,ACM Transactions on Knowledge Discovery from Data,1556-472X,4.0,4
Computer Science,IEEE Transactions on Control of Network Systems,2372-2533,4.0,4
Computer Science,Foundations and Trends in Programming Languages,2325-1131,4.0,4
Computer Science,ACM Transactions on Internet Technology,1557-6051,3.9,3.9
Computer Science,Human-centric Computing and Information Sciences,2192-1962,3.9,3.9
Computer Science,Cybersecurity,2523-3246,3.9,3.9
Computer Science,PATTERN RECOGNITION LETTERS,1872-7344,3.9,3.9
Computer Science,Foundations and Trends in Computer Graphics and Vision,1572-2759,3.8,3.8
Computer Science,Journal of Information Security and Applications,2214-2134,3.8,3.8
Computer Science,Sustainable Computing-Informatics & Systems,2210-5387,3.8,3.8
Computer Science,INFORMATION AND SOFTWARE TECHNOLOGY,1873-6025,3.8,3.8
Computer Science,Visual Informatics,2468-502X,3.8,3.8
Computer Science,IEEE INTERNET COMPUTING,1941-0131,3.7,3.7
Computer Science,JOURNAL OF SYSTEMS ARCHITECTURE,1873-6165,3.7,3.7
Computer Science,JOURNAL OF SYSTEMS AND SOFTWARE,1873-1228,3.7,3.7
Computer Science,Big Data and Cognitive Computing,2504-2289,3.7,3.7
Computer Science,Journal of Cloud Computing-Advances Systems and Applications,2192-113X,3.7,3.7
Computer Science,PATTERN ANALYSIS AND APPLICATIONS,1433-755X,3.7,3.7
Computer Science,International Journal of Automation and Computing,1751-8520,3.7,3.7
Computer Science,Journal of Grid Computing,1572-9184,3.6,3.6
Computer Science,Cluster Computing-The Journal of Networks Software Tools and Applications,1573-7543,3.6,3.6
Computer Science,International Journal of Fuzzy Systems,2199-3211,3.6,3.6
Computer Science,International Journal of Multimedia Information Retrieval,2192-662X,3.6,3.6
Computer Science,ACM Transactions on Interactive Intelligent Systems,2160-6463,3.6,3.6
Computer Science,EMPIRICAL SOFTWARE ENGINEERING,1573-7616,3.5,3.5
Computer Science,SIMULATION MODELLING PRACTICE AND THEORY,1878-1462,3.5,3.5
Computer Science,MULTIMEDIA SYSTEMS,1432-1882,3.5,3.5
Computer Science,Big Data Research,2214-5796,3.5,3.5
Computer Science,PeerJ Computer Science,2376-5992,3.5,3.5
Computer Science,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,1741-2846,3.5,3.5
Computer Science,IEEE Transactions on Human-Machine Systems,2168-2305,3.5,3.5
Computer Science,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,1096-0848,3.4,3.4
Computer Science,Frontiers of Computer Science,2095-2236,3.4,3.4
Computer Science,International Journal of Interactive Multimedia and Artificial Intelligence,1989-1660,3.4,3.4
Computer Science,APPLIED INTELLIGENCE,1573-7497,3.4,3.4
Computer Science,Informatics-Basel,2227-9709,3.4,3.4
Computer Science,International Journal of Data Science and Analytics,2364-4168,3.4,3.4
Computer Science,Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,1988-3064,3.4,3.4
Computer Science,COMPUTING,1436-5057,3.3,3.3
Computer Science,IEEE SOFTWARE,1937-4194,3.3,3.3
Computer Science,Journal of Artificial Intelligence and Soft Computing Research,2449-6499,3.3,3.3
Computer Science,CONNECTION SCIENCE,1360-0494,3.2,3.2
Computer Science,High-Confidence Computing,2667-2952,3.2,3.2
Computer Science,Frontiers in Virtual Reality,2673-4192,3.2,3.2
Computer Science,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,1873-4731,3.2,3.2
Computer Science,Journal of Computational Science,1877-7511,3.1,3.1
Computer Science,ACM Transactions on Reconfigurable Technology and Systems,1936-7414,3.1,3.1
Computer Science,COMPUTER SPEECH AND LANGUAGE,1095-8363,3.1,3.1
Computer Science,International Journal of Machine Learning and Cybernetics,1868-808X,3.1,3.1
Computer Science,SOFT COMPUTING,1433-7479,3.1,3.1
Computer Science,AI,2673-2688,3.1,3.1
Computer Science,INFORMATION SYSTEMS MANAGEMENT,1934-8703,3.0,3
Computer Science,INFORMATION SYSTEMS,1873-6076,3.0,3
Computer Science,VISUAL COMPUTER,1432-2315,3.0,3
Computer Science,COMPUTER-AIDED DESIGN,1879-2685,3.0,3
Computer Science,ACM Transactions on Privacy and Security,2471-2574,3.0,3
Computer Science,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,1573-4951,3.0,3
Computer Science,Semantic Web,2210-4968,3.0,3
Computer Science,EXPERT SYSTEMS,1468-0394,3.0,3
Computer Science,Frontiers in Artificial Intelligence,2624-8212,3.0,3
Computer Science,USER MODELING AND USER-ADAPTED INTERACTION,1573-1391,3.0,3
Computer Science,International Journal of Reconfigurable Computing,1687-7209,3.0,3
Computer Science,IEEE SECURITY & PRIVACY,1558-4046,2.9,2.9
Computer Science,AI & Society,1435-5655,2.9,2.9
Computer Science,VLDB JOURNAL,0949-877X,2.8,2.8
Computer Science,IEEE MICRO,1937-4143,2.8,2.8
Computer Science,DATA MINING AND KNOWLEDGE DISCOVERY,1573-756X,2.8,2.8
Computer Science,Future Internet,1999-5903,2.8,2.8
Computer Science,ACM Transactions on Embedded Computing Systems,1558-3465,2.8,2.8
Computer Science,Entertainment Computing,1875-953X,2.8,2.8
Computer Science,Kunstliche Intelligenz,1610-1987,2.8,2.8
Computer Science,KNOWLEDGE ENGINEERING REVIEW,1469-8005,2.8,2.8
Computer Science,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,1573-1413,2.7,2.7
Computer Science,Foundations and Trends in Databases,1931-7891,2.7,2.7
Computer Science,COMPUTER GRAPHICS FORUM,1467-8659,2.7,2.7
Computer Science,DATA & KNOWLEDGE ENGINEERING,1872-6933,2.7,2.7
Computer Science,Evolving Systems,1868-6486,2.7,2.7
Computer Science,Australasian Journal of Information Systems,1326-2238,2.7,2.7
Computer Science,SOFTWARE-PRACTICE & EXPERIENCE,1097-024X,2.6,2.6
Computer Science,Big Data,2167-647X,2.6,2.6
Computer Science,Proceedings of the VLDB Endowment,2150-8097,2.6,2.6
